intersection_id,tollgate_id,time_window,avg_travel_time
B,1.0,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",121.61587499999999
B,1.0,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",117.31013958333332
B,1.0,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",122.48664885416667
B,1.0,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",109.10201762820627
B,1.0,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",112.97037283653886
B,1.0,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",114.4266304927886
B,1.0,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",109.51251249999999
B,1.0,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",113.87142125
B,1.0,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",120.04129209374999
B,1.0,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",107.89822418794105
B,1.0,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",111.75457365007436
B,1.0,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",114.10721492536261
B,1.0,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",116.41242875
B,1.0,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",115.04980435416667
B,1.0,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",119.14854892291666
B,1.0,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",109.1153629050444
B,1.0,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",111.20194867909561
B,1.0,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",113.13992261384998
B,1.0,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",111.19556862499999
B,1.0,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",113.70918853333333
B,1.0,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",117.52940396770833
B,1.0,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",109.59874686062008
B,1.0,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",110.77959801861446
B,1.0,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",113.09969212502143
B,1.0,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",115.5892013375
B,1.0,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",114.83158700312501
B,1.0,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",117.40804807807291
B,1.0,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",112.04043676672484
B,1.0,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",111.51239801659153
B,1.0,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",112.71928448325916
B,1.0,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",115.21899262624999
B,1.0,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",114.71651272470834
B,1.0,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",116.79599416759062
B,1.0,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",112.71692586069967
B,1.0,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",111.76848661035851
B,1.0,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",112.57404709126064
B,1.0,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",111.93196635537498
B,1.0,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",113.68086851346041
B,1.0,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",116.01907968851958
B,1.0,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",113.24548583385095
B,1.0,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",112.10700286408992
B,1.0,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",112.52048736965614
B,3.0,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",107.522375
B,3.0,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",107.70189374999998
B,3.0,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",103.35103781250001
B,3.0,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",100.15082990104167
B,3.0,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",109.9759380844122
B,3.0,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",108.62850040746635
B,3.0,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",103.42531666666667
B,3.0,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",107.14442895833332
B,3.0,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",104.19331147916667
B,3.0,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",101.23720798802083
B,3.0,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",111.31535422113095
B,3.0,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",110.18590029011192
B,3.0,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",109.67165333333332
B,3.0,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",108.83543610416666
B,3.0,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",105.75052864270833
B,3.0,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",102.3678134015625
B,3.0,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",110.1915285737686
