intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",89.9801388889
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",93.0260786111
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",93.631284801
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",91.287227124
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",84.4874256931
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",77.7967878056
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",81.3955348485
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",73.5161095779
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",69.5648485795
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.5398769271
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",62.0590885034
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",61.7914480702
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",86.0859861111
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",91.4674312222
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",93.1430238861
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",91.8516152191
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",85.1216085258
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",78.0808031072
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",75.4034960606
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",71.9056569708
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",68.9464042106
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",66.9808778473
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",61.9037837976
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",61.626911528
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",86.9627819444
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",91.2461437694
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",91.5925604771
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",90.290454729
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",84.1578216341
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",77.1011522417
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",71.914497134
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",70.9199632418
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",69.4688629622
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",67.4140680491
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",62.9626266571
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",61.6397199024
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",85.2814706944
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",90.2351394794
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",91.2674787897
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",90.897764037
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",85.8603455689
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",79.2377435236
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",76.8660185038
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",72.8140520866
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",69.7556761524
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",67.9588703302
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",63.6940582226
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",62.3101134613
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",87.9129031528
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",89.887333754
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",91.1551891749
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",90.9812592462
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",87.1696408709
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",81.3988475112
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",72.1482544034
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",72.1464684915
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",70.4446222602
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",68.551174131
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",64.986986549
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",63.0186868673
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",79.5762425847
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",86.5628988648
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",89.7134743551
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",90.4952728394
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",87.6681694585
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",82.5652176481
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",73.0275545382
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",72.4536742259
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",70.8375143943
