intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",78.7493074792
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",86.1446203038
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",83.4416615385
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",80.2290531178
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",81.8553449583
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",81.2616010979
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",74.0602882483
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",74.0210939112
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",74.9315735462
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",73.1033872976
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",68.344057072
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",68.1367615658
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",142.680342612
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",149.041734104
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",158.382345679
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",160.379110379
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",163.151603053
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",142.950573614
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",128.140334029
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",121.459588015
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",118.99692446
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",123.833355856
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",122.422063492
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",132.992718676
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",122.238734177
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",119.642543353
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",117.740604396
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",125.218253968
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",124.520152284
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",127.885117647
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",128.843538462
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",146.223571429
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",148.333162393
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",143.689016393
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",155.322209302
B,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",152.69452381
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",110.197804878
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",116.402972973
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",123.319565217
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",133.150804878
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",128.585909091
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",116.02703163
B,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",117.257944785
B,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",119.718881119
B,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",114.620803324
B,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",114.667413249
B,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",109.810459364
B,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",113.436837945
C,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",167.989132948
C,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",171.959408867
C,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",169.418577982
C,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",177.101515152
C,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",179.523157895
C,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",186.901681416
C,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",198.292948718
C,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",204.173185841
C,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",200.531219512
C,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",201.267010309
C,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",237.281630435
C,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",214.404255319
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",167.032173913
C,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",188.786428571
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",188.960875
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",198.484615385
C,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",188.930851064
C,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",175.438421053
C,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",193.170923077
C,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",183.298230088
C,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",208.45625
C,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",187.884387755
C,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",211.732608696
C,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",198.558607595
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",78.7493074792
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",86.1446203038
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",83.4416615385
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",80.2290531178
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",81.8553449583
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",81.2616010979
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",74.0602882483
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",74.0210939112
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",74.9315735462
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",73.1033872976
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",68.344057072
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",68.1367615658
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",142.680342612
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",149.041734104
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",158.382345679
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",160.379110379
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",163.151603053
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",142.950573614
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",128.140334029
