intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",98.4090277778
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",92.7377757353
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",105.339944535
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",99.9830031328
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",96.0318996219
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",79.151969246
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",65.4503571429
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",60.5453571429
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",63.7805555556
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",66.1166666667
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",73.700625
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",58.92375
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",287.441277778
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",318.173321429
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",295.891865385
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",303.0631875
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",264.178295455
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",180.85325
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",100.61
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",116.144285714
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",112.42
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",164.203333333
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",89.1366666667
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",111.902
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",135.66303598
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",139.902619313
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",122.89778598
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",117.2275
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",122.675238626
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",133.236875
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",105.02
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",115.221428571
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",111.96
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",130.985
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",92.19
B,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",171.224
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",123.708645833
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",119.843723214
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",114.756854167
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",126.404041667
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",127.801916667
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",108.851130952
B,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",89.9233333333
B,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",116.95125
B,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",109.875
B,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",98.2383333333
B,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",98.05
B,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",126.511428571
C,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",154.112827646
C,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",138.585571959
C,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",173.240166667
C,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",190.71047619
C,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",178.423083333
C,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",189.45678598
C,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",192.263333333
C,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",203.25
C,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",158.68
C,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",192.135
C,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",362.02
C,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",128.067143918
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",153.093571959
C,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",138.277857939
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",152.538571959
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",145.521071959
C,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",171.559821959
C,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",148.52678598
C,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",208.336666667
C,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",158.2
C,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",211.366
C,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",160.27
C,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",143.095
C,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",206.526666667
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",92.2735180827
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",94.1051993685
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",88.3381685514
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",83.1806229047
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",85.0575145434
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",86.3279813938
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",65.4503571429
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",60.5453571429
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",63.7805555556
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",66.1166666667
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",73.700625
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",58.92375
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",156.634221149
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",172.038185455
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",167.036617639
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",195.021792207
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",177.727205938
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",147.008303111
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",100.61
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",116.144285714
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",112.42
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",164.203333333
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",89.1366666667
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",111.902
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",121.300751293
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",127.687707136
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",118.588036358
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",124.49704375
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",127.6257683
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",131.537559611
B,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",105.02
B,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",115.221428571
B,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",111.96
B,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",130.985
B,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",92.19
B,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",171.224
B,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",113.49884805
B,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",124.41299808
B,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",132.621393568
B,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",141.861095556
B,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",136.664588103
B,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",125.907473983
B,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",89.9233333333
B,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",116.95125
B,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",109.875
B,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",98.2383333333
B,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",98.05
B,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",126.511428571
C,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",154.135122722
C,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",158.01691926
C,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",153.905650552
C,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",174.819484505
C,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",164.16087093
C,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",161.998830296
C,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",192.263333333
C,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",203.25
C,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",158.68
C,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",192.135
C,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",362.02
C,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",128.067143918
C,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",143.325184401
C,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",159.138225096
C,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",180.234296525
C,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",166.257122934
C,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",164.498225036
C,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",152.333751506
C,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",208.336666667
C,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",158.2
C,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",211.366
C,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",160.27
C,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",143.095
C,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",206.526666667
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",90.5868684566
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",100.027134538
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",86.5358801613
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",82.8826838287
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",86.5691332626
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",84.3520769941
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",65.4503571429
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",60.5453571429
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",63.7805555556
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",66.1166666667
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",73.700625
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",58.92375
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",155.422216946
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",171.472854109
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",170.40966083
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",196.875208845
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",181.673764831
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",152.420084024
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",100.61
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",116.144285714
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",112.42
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",164.203333333
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",89.1366666667
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",111.902
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",123.943336194
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",127.708217233
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",119.10042055
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",125.32172095
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",126.060321365
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",132.088830548
B,1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",105.02
B,1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",115.221428571
B,1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",111.96
B,1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",130.985
B,1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",92.19
B,1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",171.224
B,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",115.003685092
