intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",82.0060143225
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",87.8689273269
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",83.6886908024
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",76.7009097526
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",79.3063572444
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",78.149744858
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",74.6341438204
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",73.1404444637
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",73.9922407632
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",71.9588839444
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",67.0892833134
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",70.5089188394
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",81.0756672751
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",88.7324359981
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",84.3931203441
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",77.4503845287
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",80.4430434429
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",79.7812318009
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",72.8613147695
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",71.8142795239
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",70.1532378161
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",70.4067247797
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",65.3512196778
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",71.4368354017
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",82.7834286929
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",89.5502725444
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",85.2192441254
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",77.6979958025
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",80.9232004936
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",79.0266513195
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",73.3156094358
