intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",68.1
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",75.0
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",75.0
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",69.7
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",68.7
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",70.3
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",66.6
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",59.3
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",62.6
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",51.3
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",64.2
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",62.3
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",125.0
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",133.5
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",119.6
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",127.3
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",121.8
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",121.4
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",106.8
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",109.9
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",101.7
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",112.8
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",128.6
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",102.1
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",98.1
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",110.9
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",90.9
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",128.3
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",117.3
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",102.6
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",127.9
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",111.5
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",110.5
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",121.6
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",124.3
B,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",108.5
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",100.0
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",80.4
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",93.6
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",117.3
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",97.1
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",112.4
B,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",106.6
B,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",103.1
B,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",83.3
B,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",98.8
B,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",83.4
B,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",89.1
C,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",139.4
C,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",148.3
C,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",152.7
C,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",174.5
C,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",150.2
C,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",166.2
C,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",170.1
C,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",165.4
C,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",197.5
C,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",198.8
C,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",193.2
C,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",191.0
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",144.0
C,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",142.7
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",137.8
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",142.8
C,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",141.4
C,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",137.5
C,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",150.1
C,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",152.1
C,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",168.6
C,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",133.0
C,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",134.5
C,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",122.8
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",72.3
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",66.8
