intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",78.5145641391
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",67.5244911312
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",81.039786774
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",69.1154040794
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",72.7383380378
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",73.9457267553
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",108.598269494
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",103.42464977
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",80.6363197793
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",78.9603804714
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",88.6531104607
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",109.811683589
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",74.4361859333
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",80.1309939682
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",62.0935669417
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",87.9861319271
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",122.286702401
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",71.2993380365
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",78.7328086439
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",80.9171639557
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",69.5325413631
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",81.5223309295
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",74.1716524391
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",83.3062306335
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",81.0261049556
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",76.8497800168
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",80.4957857712
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",86.727976952
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",77.5733497296
