intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",80.1329524527
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",78.9275687761
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",79.0845082214
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",77.3395485098
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",78.3140096313
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",80.4194051281
A,2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",72.5758970274
A,2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",72.1526680484
A,2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",72.2755586656
A,2,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",69.7115654284
A,2,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",67.7395329702
A,2,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",70.8992740779
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",75.7634547651
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",88.2707721476
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",79.5042440923
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",74.3246890879
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",78.9902057295
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",81.4258923828
A,2,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",74.9606116058
A,2,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",70.5378950231
A,2,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",70.6377219022
A,2,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",68.6989751145
A,2,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",63.3476714641
A,2,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",72.7589809855
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",83.8813480984
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",88.8911272142
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",79.6231897103
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",81.2305930734
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",81.4335608564
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",75.8473775651
A,2,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",74.4028312336
A,2,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",71.9875824566
A,2,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",71.0612696101
A,2,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",72.0291506875
A,2,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",65.6678759181
A,2,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",72.727229271
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",82.5150113003
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",81.9710819136
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",79.6744161925
A,2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",76.6583788336
A,2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",78.6154311112
A,2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",80.1834158355
A,2,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",74.4685334281
A,2,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",74.3444447584
A,2,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",75.8915824041
A,2,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",77.9625531689
A,2,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",68.462953181
A,2,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",74.1673675187
A,2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",79.1506047161
A,2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",77.8389995811
A,2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",78.9755057404
A,2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",74.7378410452
A,2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",76.6406583048
A,2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",81.5312765447
A,2,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",72.5889709764
A,2,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",71.9052855484
A,2,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",71.1368061118
A,2,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",73.1383190217
A,2,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",66.0520828401
A,2,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",70.2063517563
A,2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",77.6214686528
A,2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",76.248858393
A,2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",78.9218973698
A,2,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",73.1544725027
A,2,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",74.0157600477
A,2,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",80.1134092735
A,2,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",74.8864614307
A,2,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",66.9781601011
A,2,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",67.9583218731
A,2,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",69.5608648244
A,2,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",62.2494280359
A,2,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",66.483416748
