intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",76.1420464644
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",75.0598529681
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",75.4727707923
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",71.5383240506
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",75.3056823994
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",71.7692281631
A,2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",66.8591835872
A,2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",65.8328447077
A,2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",66.8395950806
A,2,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",67.1209315522
A,2,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",60.7137095773
A,2,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",62.9724235423
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",75.8110232918
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",77.9012693468
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",72.3604591661
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",71.4150614085
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",72.6696882581
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",69.7036962073
A,2,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",64.4445952427
A,2,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",63.1285109143
A,2,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",63.2798137455
A,2,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",65.30872046
A,2,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",60.5109289727
A,2,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",65.7951449615
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",80.9928418519
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",84.0978898559
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",76.9420784629
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",71.1568291829
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",74.9463921739
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",70.5527545423
A,2,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",65.1028510082
A,2,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",62.0057539318
A,2,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",63.7198578974
A,2,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",66.1960548928
A,2,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",60.3224942745
A,2,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",63.8490744437
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",81.3126627062
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",77.4511724525
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",75.5734933435
A,2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",72.2498928133
A,2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",74.8036917254
A,2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",72.852673296
A,2,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",64.7439543259
A,2,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",64.0504183264
A,2,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",65.2389453455
A,2,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",66.3632430452
A,2,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",60.8604418017
A,2,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",65.0028942432
A,2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",75.4621970688
A,2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",75.5812102417
A,2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",77.1542419129
A,2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",72.9363030352
A,2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",73.5913054902
A,2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",74.4820032706
A,2,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",66.1248808825
A,2,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",65.2438235803
A,2,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",64.9347570702
A,2,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",65.9142985188
A,2,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",59.6056444697
