intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",77.296656117
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",77.4694529078
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",76.9335910543
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",74.8665593207
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",74.5935651858
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",68.5415092734
A,2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",73.3897090129
A,2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",70.0396654401
A,2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",72.9244454931
A,2,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",68.0964232355
A,2,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",64.5157363479
A,2,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",68.4893165564
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",85.649044118
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",81.4151119549
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",77.8486559608
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",77.1118682203
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",77.5096605414
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",73.1956674054
A,2,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",70.6305020373
A,2,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",69.2981610189
A,2,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",70.2968192483
A,2,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",70.9395349383
A,2,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",67.2264374995
A,2,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",74.5033865473
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",84.5826103815
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",88.1008530693
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",80.1384495615
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",77.0106469998
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",75.6700078232
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",68.7505577039
A,2,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",67.5949988676
A,2,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",69.6622702107
A,2,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",70.5902132256
A,2,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",71.8343178577
A,2,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",64.4788227823
A,2,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",76.8961682946
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",87.0612978839
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",86.9469420318
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",79.3270500546
A,2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",74.4105040597
A,2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",77.0534990251
A,2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",75.6276447918
A,2,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",70.7026752282
A,2,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",71.960651626
A,2,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",69.88253533
A,2,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",73.7265310845
A,2,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",64.6924489319
A,2,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",74.9744032427
A,2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",78.1937026978
A,2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",78.5896366043
A,2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",78.0969606901
A,2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",74.3898030373
A,2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",72.8037121706
A,2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",70.9304294895
A,2,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",69.4770668791
A,2,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",70.0628427751
A,2,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",66.9304835157
A,2,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",70.7215832288
A,2,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",65.1997807239
A,2,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",74.3115959762
A,2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",78.9313538581
A,2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",80.8513625169
A,2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",79.3846182335
A,2,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",76.7849777872
A,2,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",73.8764232942
A,2,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",70.8462248372
A,2,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",69.2019681838
A,2,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",66.8719138456
A,2,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",69.9277426482
A,2,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",68.6083547443
A,2,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",64.1474937841
A,2,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",70.3190991903
A,2,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",73.9973267954
A,2,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",81.1790410635
A,2,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",81.3789392385
A,2,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",74.0088861464
A,2,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",72.7676770699
A,2,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",64.9558045582
A,2,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",67.8161042633
A,2,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",68.4764225919
A,2,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",70.6710679596
A,2,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",74.1262275285
A,2,"[2016-10-31 18:20:00,2016-10-31 18:40:00)",62.6716661981
A,2,"[2016-10-31 18:40:00,2016-10-31 19:00:00)",69.9973720213
A,3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",139.322352797
A,3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",143.219643506
A,3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",169.474121967
A,3,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",168.423584141
A,3,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",168.217406315
A,3,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",145.02087558
A,3,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",107.846976131
A,3,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",117.152851322
A,3,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",112.532780378
A,3,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",113.384777267
A,3,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",120.877681385
A,3,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",131.627563343
A,3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",151.587431254
A,3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",155.12203374
A,3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",173.440365124
A,3,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",172.992362964
A,3,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",168.019447232
A,3,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",137.556470184
A,3,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",105.741178778
A,3,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",114.128732081
A,3,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",113.743218963
A,3,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",110.298033094
A,3,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",118.064515331
A,3,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",121.876578234
A,3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",175.165160611
A,3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",186.366186953
A,3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",193.956571312
A,3,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",194.337348789
A,3,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",194.965932645
A,3,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",145.345692146
A,3,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",115.129680528
A,3,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",119.380115251
A,3,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",113.596534961
A,3,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",112.38462134
A,3,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",118.595761748
A,3,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",133.564326125
A,3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",163.98632713
A,3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",185.927038764
A,3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",217.176610754
A,3,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",212.42059607
A,3,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",202.107215943
A,3,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",165.996801301
A,3,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",114.358715299
A,3,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",122.812006402
A,3,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",113.936957453
A,3,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",114.915539307
A,3,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",120.62189868
A,3,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",125.459028197
A,3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",117.345131635
A,3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",123.700502232
A,3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",149.058524468
A,3,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",147.82347994
A,3,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",142.497386635
A,3,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",137.767922601
A,3,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",113.497055324
A,3,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",118.392657018
A,3,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",114.573308523
A,3,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",113.256788242
A,3,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",119.290267762
A,3,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",125.806706943
A,3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",122.191143928
A,3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",122.139719542
