tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,49
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,52
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,52
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,52
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,52
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,52
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,54
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,55
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,55
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,55
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,56
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,56
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,107
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,109
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,109
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,109
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,108
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,108
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,118
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,118
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,118
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,117
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,117
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,117
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,98
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,98
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,98
2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,98
2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,97
2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,97
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,84
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,87
2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,87
2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,88
2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,88
2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,88
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,168
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,171
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,171
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,172
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,171
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,171
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,120
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,121
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,122
3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,123
3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,124
3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,124
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,93
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,94
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,94
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,94
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,94
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,94
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,83
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,82
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,82
3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,82
3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,82
3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,81
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,41
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,41
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,41
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,41
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,41
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,41
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,36
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,35
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,35
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,35
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,35
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,35
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,106
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,107
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,108
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,108
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,108
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,108
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,86
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,85
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,85
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,85
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,85
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,85
2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,99
2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,99
2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,99
2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,99
2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,98
2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,98
2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,64
2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,64
2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,64
2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,64
2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,64
2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,64
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,153
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,153
3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,152
3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,152
3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,152
3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,151
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,94
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,94
3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,94
3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,94
3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,94
3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,95
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,109
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,116
3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,116
3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,117
3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,117
3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,117
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,75
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,74
