tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.398352155
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,53.0355139541
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,50.4200985672
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,49.4424795905
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,53.4195861393
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,50.4115068255
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,44.3038627572
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,39.4009022541
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,29.3665827688
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,27.3113813154
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,25.9218266605
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,21.5573360053
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,43.5998753618
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,51.8104551747
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,51.050375071
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,47.4587366179
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,51.5093688254
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,48.7350050622
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,43.4665871202
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,35.9859703173
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,26.9908706066
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,26.4631849514
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,25.5683225343
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,22.1325012678
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,42.9092086918
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,53.8082329347
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,52.4337473727
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,48.3288480138
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,52.7941028175
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,52.0243906533
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,43.810395909
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,37.8550562578
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,28.0484175741
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,26.9593693584
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,25.5240693486
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,21.9979593248
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,45.3772844202
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,52.1606212288
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,52.5481444821
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,49.2112389396
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,52.6554545057
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,50.9911440342
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,49.3916935526
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,44.8517927249
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,32.1493762835
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,31.194639088
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,27.0723076594
