tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,46.0
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,49.0
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,50.0
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,48.0
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,51.0
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,48.0
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,42.0
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,36.0
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,30.0
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,27.0
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,26.0
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,23.0
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,107.0
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,105.0
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,116.0
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,122.0
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,108.0
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,105.0
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,94.0
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,105.0
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,110.0
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,67.0
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,75.0
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,62.0
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,105.0
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,104.0
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,103.0
2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,96.0
2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,93.0
2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,77.0
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,82.0
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,76.0
2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,69.0
