tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.0
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.0
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,47.0
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,47.0
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,48.0
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,48.0
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,43.0
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,34.0
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,30.0
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,29.0
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,28.0
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,23.0
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,107.0
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,107.0
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,112.0
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,122.0
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,108.0
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,108.0
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,94.0
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,109.0
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,111.0
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,53.0
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,77.0
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,62.0
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,112.0
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,117.0
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,109.0
2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,106.0
2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,101.0
2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,81.0
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,82.0
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,77.0
2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,69.0
2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,54.0
2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,54.0
2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,27.0
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,151.0
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,146.0
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,146.0
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,141.0
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,125.0
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,117.0
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,114.0
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,122.0
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,111.0
3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,89.0
3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,70.0
3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,63.0
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,103.0
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,113.0
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,129.0
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,116.0
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,111.0
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,102.0
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,88.0
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,89.0
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,90.0
3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,79.0
3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,75.0
3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,75.0
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.0
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,48.0
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,47.0
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,47.0
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,48.0
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,48.0
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,43.0
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,34.0
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,30.0
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,29.0
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,28.0
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,23.0
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,107.0
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,107.0
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,112.0
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,122.0
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,108.0
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,108.0
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,94.0
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,109.0
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,111.0
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,53.0
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,77.0
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,62.0
2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,112.0
2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,117.0
2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,109.0
2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,106.0
2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,101.0
2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,81.0
2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,82.0
2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,77.0
2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,69.0
2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,54.0
2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,54.0
2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,27.0
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,151.0
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,146.0
3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,146.0
3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,141.0
3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,122.0
3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,117.0
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,114.0
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,122.0
3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,111.0
3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,89.0
3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,70.0
3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,63.0
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,103.0
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,111.0
3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,129.0
3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,116.0
3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,111.0
3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,102.0
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,88.0
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,89.0
3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,90.0
3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,79.0
3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,68.0
3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,75.0
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,45.0
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,48.0
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,47.0
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,47.0
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,48.0
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,48.0
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,43.0
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,34.0
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,30.0
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,29.0
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,28.0
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,23.0
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,107.0
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,107.0
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,112.0
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,122.0
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,108.0
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,108.0
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,94.0
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,105.0
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,111.0
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",1,53.0
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",1,77.0
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",1,62.0
2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,112.0
2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,117.0
2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,109.0
2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,106.0
2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,101.0
2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,81.0
2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,82.0
2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,77.0
2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,69.0
2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,54.0
2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,54.0
2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,27.0
