tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,47.5648594805
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,52.7433290419
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,49.2813976745
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,48.7436353593
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,48.2788078268
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,52.0517563032
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,43.6925266427
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,40.9489370056
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,28.9062870253
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,27.1656161646
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,23.885646455
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,19.5668614306
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,116.843146381
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,120.14294349
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,118.494636097
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,123.476641221
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,116.541940772
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,113.692606227
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",1,105.175334187
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",1,118.210723935
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",1,119.778287582
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",1,69.7835704164
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",1,85.2700606058
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",1,70.5110486214
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,117.535732873
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,118.22787624
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,114.58536674
2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,100.537340706
2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,94.3597221081
2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,76.6400741676
2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,81.8586836671
2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,72.2190373276
2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,67.889240681
2,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,61.5225108368
2,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,58.2622803204
2,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,47.6851207317
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,153.152955136
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,152.617150088
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,151.127734244
3,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,149.654783878
3,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,137.090704506
3,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,129.948779048
3,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,116.172459037
3,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,116.50275528
3,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,100.24712066
