tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,56
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,54
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,58
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,48
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,64
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,56
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,35
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,40
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,34
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,25
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,21
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,17
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,116
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,123
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,120
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,130
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,121
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,140
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",1,109
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",1,115
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",1,134
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",1,81
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",1,71
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",1,67
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,107
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,115
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,108
2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,114
2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,103
2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,79
2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,88
2,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,79
2,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,84
2,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,68
2,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,53
2,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,55
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,165
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,177
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,159
