tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,44.0
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,47.0
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,47.0
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,45.0
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,47.0
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,45.0
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,41.0
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,39.0
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,30.0
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,27.0
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,23.0
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,17.0
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,106.0
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,107.0
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,109.0
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,110.0
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,108.0
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,107.0
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",1,94.0
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",1,105.0
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",1,112.0
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",1,67.0
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",1,77.0
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",1,61.0
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,104.0
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,117.0
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,106.0
2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,105.0
2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,93.0
2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,79.0
2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,81.0
